Conversion Certificate,Deed from Previous Owner,Electricity Connection,Electricity Connection_detail,Encumberence Certificate,Is the plot free of any legal issues?,Revenue Document,Road Available,Road Available_detail,Sewage Connection,Sewage Connection_detail,Title Deed,Title Deed_detail,Water Connection,Water Connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open-sides,overlooking,ownership,plot-area,price,price_available,price_per_sqft,transaction,type,width-road-facing
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,No,,0,3,"Kamrabad, Narendrapur, Kolkata",,,Freehold,2169 sqft,33 Lac,1,1521.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,Yes,No,,4,,"New Town, Kolkata",,,,9500 sqft,2 Cr,1,2105.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,45 X 32,3,1,"Debrupayan Nagar, Kolkata",1.00,"Garden/Park, Main Road",Freehold,1440 sqft,15 Lac,1,1042.00,Resale,Residential Land / Plot,32 m
,,,,,,,,,,,,,,,,Yes,Yes,160 X 156.25,0,1,"Kamalgazi, Narendrapur, Kolkata",2.00,,Freehold,25000 sqft,3.50 Cr,1,1400.00,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,40 X 36,17,,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,8.5 Lac,1,590.00,New Property,Residential Land / Plot,15 m
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Mud Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,"Park, Security",No,No,,2,Congo,"Joka, Kolkata",3.00,,,1440 sqft,2.5 Lac,1,174.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,No,No,,0,4,"Bahirgachi, Kolkata",,,,28800 sqft,,0,,Resale,Residential Land / Plot,
Yes,No,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Will Deed,Yes,Water Board,,Yes,Yes,58.49 X 53,1,,"Simla Machuabazar, Kolkata",1.00,,Freehold,3100 sqft,,0,,Resale,Residential Land / Plot,3 m
No,No,No,,Yes,No,,No,,No,,No,,No,,,No,No,,0,1,"Metiabruz, Kolkata",1.00,,,14400 sqft,2 Cr,1,1389.00,Resale,Residential Land / Plot,1 m
,,,,,,,,,,,,,,,,Yes,Yes,50 X 42,14,4,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2100 sqft,11.3 Lac,1,538.00,New Property,Residential Land / Plot,10 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,No,,3,15,"Pailan, Kolkata",4.00,,,1440 sqft,15 Lac,1,1042.00,Resale,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,Yes,Yes,50 X 14.4,11,4,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,720 sqft,4 Lac,1,556.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,Yes,50 X 21.6,13,4,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1080 sqft,6 Lac,1,556.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,90 X 40,24,5,"New Town, Kolkata",,Main Road,Freehold,3600 sqft,41.1 Lac,1,1143.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,Yes,50 X 28.8,7,4,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,8 Lac,1,556.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,No,,0,4,"Canning 2, Kolkata",,,,259200 sqft,,0,,Resale,Residential Land / Plot,
No,No,No,,No,Yes,,Yes,Pucca Road,No,,Yes,Gift Deed,No,,,No,No,,0,,"Dash Drone, Rajarhat Newtown, Kolkata",2.00,,Freehold,2435 sqft,52.6 Lac,1,2160.00,Resale,Residential Land / Plot,
