Conversion Certificate,Deed from Previous Owner,Electricity Connection,Electricity Connection_detail,Encumberence Certificate,Is the plot free of any legal issues?,Revenue Document,Road Available,Road Available_detail,Sewage Connection,Sewage Connection_detail,Title Deed,Title Deed_detail,Water Connection,Water Connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open-sides,overlooking,ownership,plot-area,price,price_available,price_per_sqft,transaction,type,width-road-facing
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Club House, Gymnasium, Reserved Parking",Yes,Yes,60 X 60,10,4,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,3600 sqft,10 Lac,1,278.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,45 X 32,4,2,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,4.6 Lac,1,319.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,Yes,No,,3,1,"Rajarhat, Kolkata",,,Freehold,3600 sqft,75 Lac,1,2083.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,45 X 40,6,3,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1800 sqft,5.8 Lac,1,319.00,New Property,Residential Land / Plot,7 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,On Highway,Yes,Open,No,,Yes,Water Board,,No,No,52.5 X 28.57,2,1,"Purba Barisha, Kolkata",4.00,Main Road,Freehold,1500 sqft,20 Lac,1,1333.00,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,,No,No,50 X 36,3,3,"Rajarhat, Kolkata",1.00,Main Road,Freehold,1800 sqft,19 Lac,1,1056.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,No,,0,1,"Birati, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2100 sqft,48 Lac,1,2286.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,48 X 60,6,3,"Action Area 3, Kolkata",1.00,"Garden/Park, Main Road",Freehold,2880 sqft,48 Lac,1,1667.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,"Power Back Up, Security, Water Storage, Visitor Parking, Intercom Facility, Maintenance Staff",Yes,No,,6,,"Kalikapur Haltu, Kolkata",3.00,Garden/Park,,10800 sqft,,0,,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Club House, Gymnasium, Reserved Parking",Yes,Yes,60 X 50,9,4,"Joka, Kolkata",2.00,Garden/Park,Freehold,3000 sqft,8.3 Lac,1,277.00,New Property,Residential Land / Plot,7 m
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,Gift Deed,No,,,Yes,0,,0,3,"Santipur, Kolkata",3.00,,,3050 sqft,18 Lac,1,590.00,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,,No,No,66 X 48.94,7,5,"Action Area 3, Kolkata",2.00,Main Road,Freehold,3230 sqft,2.30 Cr,1,7121.00,Resale,Residential Land / Plot,20 m
Yes,No,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,No,,0,3,Kolkata,3.00,,,1440 sqft,65 Lac,1,4513.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,No,Yes,24 X 30,13,,"Diamond Park, Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,720 sqft,2.3 Lac,1,318.00,New Property,Residential Land / Plot,25 m
,,,,,,,,,,,,,,,,No,No,35 X 41.14,0,3,"Ichapur, Kolkata",3.00,,,1440 sqft,13 Lac,1,903.00,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,Yes,Yes,145.83 X 96,6,1,"Madhyamgram, Kolkata",1.00,Main Road,Freehold,14000 sqft,2.60 Cr,1,1857.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,Yes,,0,3,"Jorabagan, Kolkata",,,,4000 sqft,1.50 Cr,1,3750.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Howrah, Kolkata",,,,10080 sqft,1.50 Cr,1,1488.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,,,,0,,"Garia, Kolkata",,,Freehold,1440 sqft,10 Lac,1,694.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Reserved Parking, Security, Water Storage",No,0,1 X 400,16,,"Thakurpukur, Kolkata",1.00,"Garden/Park, Pool, Main Road",Freehold,725 sqft,2.3 Lac,1,312.00,New Property,Residential Land / Plot,60 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,No,47 X 33,0,,"Sodepur, Kolkata",,,Freehold,1440 sqft,24.5 Lac,1,1701.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,Yes,No,,0,4,Kolkata,,,,4320 sqft,8 Lac,1,185.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,45 X 32,3,4,Kolkata,1.00,,Freehold,1440 sqft,45 Lac,1,3125.00,Resale,Residential Land / Plot,7 m
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,,0,,"Rajarhat, Kolkata",2.00,,Freehold,1440 sqft,19.6 Lac,1,1361.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Open,Yes,Will Deed,Yes,Water Board,,No,No,,4,Congo,Kolkata,1.00,,Freehold,28800 sqft,,0,,Resale,Residential Land / Plot,46 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,,"Bishnupur, Kolkata",,,,1440 sqft,,0,,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,No,Yes,Yes,On Highway,Yes,Underground,Yes,Will Deed,Yes,Water Board,,No,No,,1,,"Barrackpore Barasat Road, Kolkata",,Main Road,Freehold,9 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,66 X 48.91,7,5,"Action Area 1, Kolkata",2.00,Main Road,Freehold,3228 sqft,4.50 Cr,1,13941.00,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,No,No,,0,3,"Ramchandrapur Narendrapur, Kolkata",,,,1450 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,24 X 30,8,3,"Bhasa, Kolkata",4.00,,,720 sqft,1 Lac,1,139.00,New Property,Residential Land / Plot,8 m
No,Yes,Yes,Electricity Board,No,No,,No,,No,,Yes,Sale Deed,No,,,Yes,No,,0,4,"Madhyamgram, Kolkata",4.00,,,1361 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,Congo,"New Town, Kolkata",3.00,,Freehold,4 sqft,,0,,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,Yes,36 X 40,1,3,"New Town, Kolkata",2.00,Main Road,Freehold,1440 sqft,26.1 Lac,1,1812.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,Yes,18 X 40,1,3,"Action Area 3, Kolkata",1.00,Main Road,Freehold,720 sqft,12.5 Lac,1,1736.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,No,134 X 32.2,4,1,"Baruipur, Kolkata",3.00,,,4320 sqft,40 Lac,1,926.00,Resale,Residential Land / Plot,4 m
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,20 X 108,3,2,"Tollygunge Phari, Kolkata",1.00,,Freehold,2160 sqft,60 Lac,1,2778.00,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,,Yes,No,,4,4,Kolkata,3.00,Main Road,Freehold,1710 sqft,60 Lac,1,3509.00,Resale,Residential Land / Plot,5 m
No,Yes,Yes,Electricity Board,Yes,No,,Yes,Mud Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,1,4,"Joka, Kolkata",4.00,,Freehold,1440 sqft,2.7 Lac,1,188.00,Resale,Residential Land / Plot,25 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,40 X 45,8,3,"New Town, Kolkata",1.00,"Garden/Park, Main Road",Freehold,1800 sqft,31.3 Lac,1,1736.00,New Property,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,,"Silpara, Purba Barisha, Kolkata",,,,2880 sqft,42 Lac,1,1458.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,134 X 91.2,7,5,"Beleghata, Kolkata",3.00,Main Road,Freehold,12240 sqft,,0,,Resale,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,No,,0,3,"Sonarpur, Kolkata",,,,1800 sqft,,0,,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,"Club House, Swimming Pool, Gymnasium, Park, Reserved Parking, Security",No,No,,4,,"New Town, Kolkata",4.00,,,720 sqft,12 Lac,1,1667.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Will Deed,Yes,Borewell,"Swimming Pool, Gymnasium, Park, Security, Vaastu Compliant, Waste Disposal",Yes,Yes,32 X 45,4,3,"Action Area 2, Kolkata",3.00,"Garden/Park, Main Road",Freehold,1440 sqft,14.8 Lac,1,1028.00,Resale,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,No,26.8 X 53.7,0,Congo,"Joka, Kolkata",3.00,"Garden/Park, Main Road",Freehold,1440 sqft,11 Lac,1,764.00,New Property,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,No,No,2683 X 0.54,6,Congo,"Joka, Kolkata",3.00,"Garden/Park, Main Road",Freehold,1440 sqft,8 Lac,1,554.00,New Property,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,No,No,2683 X 0.81,7,Congo,"Joka, Kolkata",3.00,Garden/Park,Freehold,2160 sqft,13.5 Lac,1,625.00,New Property,Residential Land / Plot,20 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,No,,1,,"Konnagar, Kolkata",3.00,,,1850 sqft,45 Lac,1,2432.00,Resale,Residential Land / Plot,5 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,36 X 20,10,4,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,720 sqft,1.4 Lac,1,194.00,Resale,Residential Land / Plot,25 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Mud Road,Yes,Open,Yes,Other,Yes,Water Board,,No,No,,2,,Kolkata,2.00,,Freehold,1840 sqft,25 Lac,1,1359.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,2,1,"Barasat, Kolkata",,,,38110 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,6,"Chakdaha, Kolkata",,,,10800 sqft,2.25 Cr,1,2083.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,4,"Harinavi, Kolkata",,,,2160 sqft,40 Lac,1,1852.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Water Board,,Yes,Yes,94.99 X 27.52,0,5,"Shobhabazar, Kolkata",1.00,Garden/Park,Freehold,2614 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,66 X 48.94,7,5,"Action Area 3, Kolkata",2.00,"Garden/Park, Main Road",Freehold,3230 sqft,2.50 Cr,1,7740.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,60 X 60,9,4,"Action Area 3, Kolkata",1.00,"Garden/Park, Main Road",Freehold,3600 sqft,61 Lac,1,1694.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,No,,1,20,"Eastern Metropolitan Bypass, Kolkata",,,,304900 sqft,,0,,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Borewell,,Yes,Yes,144 X 135,1,3,"Joka, Kolkata",2.00,,,6480 sqft,,0,,Resale,Residential Land / Plot,25 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Gift Deed,Yes,Water Board,,Yes,No,,3,5,"Raja Rammohan Roy Road, Kolkata",1.00,"Garden/Park, Main Road",Freehold,8640 sqft,,0,,New Property,Residential Land / Plot,22 m
,,,,,,,,,,,,,,,,Yes,No,,0,1,"Rajpur, Kolkata",,,,96490 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,4,Kolkata,,,,3500 sqft,1 Cr,1,2857.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"Amtala, Diamond Harbour Road, Kolkata",2.00,,,6480 sqft,,0,,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,No,,3,,"New Town, Kolkata",3.00,,,1440 sqft,12 Lac,1,833.00,Resale,Residential Land / Plot,
No,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Open,Yes,Will Deed,Yes,Water Board,,No,No,,2,,"Panchanan Tola Thakurpukur, Kolkata",2.00,Main Road,Freehold,1440 sqft,,0,,Resale,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,Yes,No,,0,,"Garia Place, Garia, Kolkata",,,,1060 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,8050 X 1.07,5,1,"Ballygunge, Kolkata",2.00,Main Road,Freehold,8641 sqft,,0,,Resale,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,0,80.5 X 26.8,7,5,"Action Area 1, Kolkata",1.00,Main Road,Freehold,2160 sqft,2.50 Cr,1,11573.00,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,No,No,,0,4,"Action Area 1, Kolkata",,,,6451 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,4,"Parnasree Palli, Kolkata",,,,2160 sqft,38.5 Lac,1,1528.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,789 X 4.56,6,4,"Salt Lake City, Kolkata",2.00,"Garden/Park, Main Road",Leasehold,3600 sqft,,0,,Resale,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,Yes,1032 X 3.49,7,4,"Kankurgachi, Kolkata",2.00,Main Road,Freehold,3600 sqft,,0,,Resale,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,No,24 X 30,5,,"Diamond Park, Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,720 sqft,2.7 Lac,1,374.00,New Property,Residential Land / Plot,25 m
,,,,,,,,,,,,,,,,No,No,49.2 X 32.8,7,5,"Action Area 2B, Kolkata",2.00,Main Road,Freehold,1615 sqft,,0,,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,No,0,23 X 28.26,13,,"Diamond Park, Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,650 sqft,1.6 Lac,1,238.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,Yes,45 X 40,0,4,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1800 sqft,10 Lac,1,556.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,No,,0,,"Howrah, Kolkata",,,,5040 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"Bramhapur, Kolkata",,,,1440 sqft,35 Lac,1,2430.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"Bramhapur, Kolkata",,,,1440 sqft,35 Lac,1,2430.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,4,"Gariahat, Kolkata",,,,2160 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,90 X 40,24,1,"New Town, Kolkata",2.00,Main Road,Freehold,3600 sqft,47.7 Lac,1,1325.00,New Property,Residential Land / Plot,10 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,"Power Back Up, Rain Water Harvesting, Security, Maintenance Staff, CCTV Camera, Kids play area",No,No,,0,3,"Amtala, Diamond Harbour Road, Kolkata",4.00,,,1440 sqft,13 Lac,1,903.00,Resale,Residential Land / Plot,25 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,80 X 36,24,5,"New Town, Kolkata",2.00,Main Road,Freehold,2880 sqft,38.2 Lac,1,1325.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,Yes,24 X 30,6,,"Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,720 sqft,2.5 Lac,1,346.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,No,,0,2,"Madhyamgram, Kolkata",,,,17000 sqft,1.60 Cr,1,941.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,45 X 48,3,3,"Action Area 3, Kolkata",1.00,"Garden/Park, Main Road",Freehold,2160 sqft,36.6 Lac,1,1694.00,New Property,Residential Land / Plot,10 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,3,Congo,"Tribeni, Kolkata",3.00,Main Road,Freehold,1500 sqft,30 Lac,1,2000.00,Resale,Residential Land / Plot,19 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"Barrackpore, Kolkata",,,,1800 sqft,45 Lac,1,2500.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,48 X 60,6,4,"Action Area 3, Kolkata",1.00,"Garden/Park, Main Road",Freehold,2880 sqft,48.8 Lac,1,1694.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"New Town, Kolkata",4.00,Main Road,Freehold,1440 sqft,26 Lac,1,1806.00,Resale,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,Yes,No,,0,6,"Sonagachi, Kolkata",,,,17693 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,,"Joka, Kolkata",2.00,,Freehold,1440 sqft,1.6 Lac,1,111.00,Resale,Residential Land / Plot,8 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,,2,3,"Joka, Kolkata",,,Freehold,1440 sqft,1.6 Lac,1,111.00,Resale,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,Yes,No,,0,4,"Thakurpukur, Kolkata",,,,14400 sqft,,0,,Resale,Residential Land / Plot,
No,No,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Will Deed,Yes,Water Board,,No,Yes,1920 X 18,0,5,"Belur Math, Kolkata",1.00,"Garden/Park, Main Road",Freehold,34560 sqft,,0,,Resale,Residential Land / Plot,600 m
,,,,,,,,,,,,,,,,No,No,,0,5,"Action Area 3, Kolkata",1.00,,Freehold,2160 sqft,1.35 Cr,1,6250.00,Resale,Residential Land / Plot,12 m
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Mud Road,Yes,,Yes,Conveyance Deed,Yes,,,Yes,No,,4,3,"Sarsuna, Kolkata",2.00,,Freehold,2027 sqft,10 Lac,1,493.00,Resale,Residential Land / Plot,1 m
,,,,,,,,,,,,,,,,No,No,,2,4,"Action Area 3, Kolkata",,,,5040 sqft,56 Lac,1,1111.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,0,5,"Nazirabad, Kolkata",4.00,,,9900 sqft,,0,,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"New Town, Kolkata",4.00,Main Road,Freehold,1440 sqft,28 Lac,1,1944.00,Resale,Residential Land / Plot,9 m
,,,,,,,,,,,,,,,,No,No,22 X 32.73,3,,"Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,720 sqft,2.9 Lac,1,396.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,5,"Serampore, Kolkata",3.00,,,7200 sqft,2.80 Cr,1,3889.00,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,32 X 45,6,3,"Action Area 3, Kolkata",1.00,"Garden/Park, Main Road",Freehold,1440 sqft,24.4 Lac,1,1694.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Thakurnagar, Kolkata",,,,2592 sqft,22.7 Lac,1,874.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,,Kolkata,,,,1510 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Notun Pally, Kolkata",2.00,,,1440 sqft,9.5 Lac,1,660.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,,,,5,,"Baduria, Kolkata",,Garden/Park,Freehold,57600 sqft,2.75 Cr,1,255.00,New Property,Residential Land / Plot,
No,No,No,,No,Yes,,Yes,Pucca Road,No,,Yes,Gift Deed,No,,,No,No,,2,,Kolkata,1.00,,,1520 sqft,35 Lac,1,2303.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,40 X 45,3,3,"Action Area 3, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1800 sqft,30.5 Lac,1,1694.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,No,,0,,Kolkata,,,,95920 sqft,,0,,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,5,"Rabindra Sarobar, Kolkata",,,,2440 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,,,,1,,"Dum Dum Cantonment, Kolkata",,,Power Of Attorney,87120 sqft,,0,,New Property,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,2,,"Joka, Kolkata",3.00,,Freehold,1440 sqft,2.8 Lac,1,191.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,,Yes,Yes,,Yes,Pucca Road,Yes,,Yes,Partition Deed,Yes,,,Yes,Yes,,0,4,"Barasat, Kolkata",3.00,,Freehold,2160 sqft,42.5 Lac,1,1967.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,No,No,,Yes,On Highway,Yes,Underground,Yes,Gift Deed,Yes,Water Board,,Yes,No,,1,,"Halisahar, Kanchrapara, Kolkata",3.00,,Freehold,1440 sqft,34 Lac,1,2361.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,Yes,No,,0,4,"New Garia, Garia, Kolkata",,,,8641 sqft,96 Lac,1,1111.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Birati, Kolkata",,,,3240 sqft,1.30 Cr,1,4012.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,0,40 X 35,1,3,"International Airport, Dum Dum, Jessore Road, Kolkata",2.00,Main Road,Freehold,1400 sqft,40 Lac,1,2857.00,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,,No,No,24 X 30,9,,"Diamond Park, Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,720 sqft,4 Lac,1,554.00,New Property,Residential Land / Plot,25 m
,,,,,,,,,,,,,,,,,,,0,,"Boral, Kolkata",,Main Road,Power Of Attorney,27180 sqft,1 Cr,1,368.00,New Property,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,0,,0,5,"Sonarpur, Kolkata",,,,5761 sqft,1 Cr,1,1736.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,8050 X 0.54,7,1,"Bhowanipore, Kolkata",2.00,Main Road,Freehold,4320 sqft,,0,,Resale,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,0,45 X 48,6,3,"Action Area 3, Kolkata",1.00,"Garden/Park, Main Road",Freehold,2160 sqft,37.5 Lac,1,1736.00,New Property,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,No,No,,0,5,"Kalagachhia, Kolkata",,,,1900 sqft,14 Lac,1,737.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,No,,,No,No,,0,,"Action Area 3, Kolkata",1.00,,,1800 sqft,35 Lac,1,1944.00,Resale,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,50 X 43.2,18,,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2160 sqft,6 Lac,1,277.00,New Property,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,,Yes,No,,0,4,"Amherst Street, Kolkata",,,,273600 sqft,10 Cr,1,365.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,No,,,No,No,43.1 X 29,0,3,"Sewli Telinipara, Barrackpore, Kolkata",2.00,Main Road,Freehold,1250 sqft,32 Lac,1,2560.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,66 X 35,2,,"New Alipore, Kolkata",1.00,,Freehold,2285 sqft,,0,,Resale,Residential Land / Plot,6 m
No,No,No,,No,No,No,No,,No,,No,,No,,,No,Yes,,0,3,"Barrackpore, Kolkata",,,,38880 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,3,,Kolkata,,,,115200 sqft,,0,,Resale,Residential Land / Plot,
