boundary,construction,dimensions,fig_count,floor,location,open_sides,price,price_per_sqft,transaction,type,garden_park,main_road,pool,width_road,area
No,Yes,50 X 14.4,13,4,Joka,2,3.8,528,New Property,Residential Land / Plot,1,1,0,10,720
Yes,Yes,45 X 40,5,5,Action Area 3,2,25.5,1417,New Property,Residential Land / Plot,1,0,0,30,1800
Yes,Yes,50 X 21.6,9,4,Joka,2,5.6,519,New Property,Residential Land / Plot,1,1,0,10,1080
No,Yes,,2,,Madhyamgram,,5,278,Resale,Residential Land / Plot,0,0,0,,1800
No,No,60 X 60,4,,New Town,1,125,3472,Resale,Residential Land / Plot,0,1,0,10,3600
No,No,66 X 48.79,7,5,Action Area 3,2,180,5590,Resale,Residential Land / Plot,1,1,0,13,3220
No,No,49 X 33.06,7,5,Action Area 3,2,95,5864,Resale,Residential Land / Plot,0,1,0,13,1620
Yes,Yes,24 X 30,10,3,Action Area 3,2,10.2,1417,New Property,Residential Land / Plot,0,1,0,10,720
Yes,No,,0,4,"Chit Kalikapur, Mukundapur",,270,1974,Resale,Residential Land / Plot,0,0,0,,13680
No,No,45 X 32,1,Congo,"Tollygunge, Karunamoyee",1,38,2639,Resale,Residential Land / Plot,0,0,0,10,1440
Yes,Yes,45 X 32,10,5,Rajarhat,2,23,1597,New Property,Residential Land / Plot,1,1,0,30,1440
Yes,Yes,17 X 17,4,5,"Desh Bandhu Nagar, Baguiati",2,70,2692,Resale,Residential Land / Plot,0,1,0,10,2600
Yes,No,,1,,Tangra,1,45,3125,Resale,Residential Land / Plot,0,0,0,1,1440
No,No,,0,,Hatiara,,100,2315,Resale,Residential Land / Plot,0,0,0,,4320
No,Yes,,3,,Joka,1,12.5,579,Resale,Residential Land / Plot,0,0,0,20,2160
No,No,,0,1,Shibrampur,,12,1333,Resale,Residential Land / Plot,0,0,0,,900
No,No,,13,,Thakurpukur,,8,460,Resale,Residential Land / Plot,0,0,0,,1740
